"","location_name","total_population","total_commuters","less_than_5_min","5_to_9_min","10_to_14_min","15_to_19_min","20_to_24_min","25_to_29_min","30_to_34_min","35_to_39_min","40_to_44_min","45_to_59_min","60_to_89_min","90_or_more_min","state","puma","median_commuter_number","median_commute_bins","median_commute_bin_number","percent_more_than_hour","percent_more_than_90"
"44","DuPage County (East Central)--York Township PUMA, Illinois",125767,55561,1185,4760,6572,7458,9202,3072,7972,1616,2130,6536,4209,849,"17","03205",27781,"20_to_24_min",8,9,2
"51","Lake County (East Central)--Warren, Libertyville (North & East) & Shields Townships PUMA; Illinois",152907,77715,2993,9358,10742,11048,10294,5618,9099,3077,3378,4955,5122,2031,"17","03309",38858,"20_to_24_min",8,9,3
"62","Cook County (North)--Wheeling Township (North & East) PUMA, Illinois",126590,62298,1179,3660,7851,9694,10421,5060,8945,1169,3560,4953,4363,1443,"17","03415",31150,"20_to_24_min",8,9,2
"79","Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois",145782,89793,1445,6623,10084,16332,14337,5068,12000,3333,5957,6386,5369,2859,"17","03525",44897,"20_to_24_min",8,9,3
"7","Montgomery, Bond, Clinton, Fayette & Effingham Counties PUMA; Illinois",140418,60966,4741,9337,10194,8613,6217,2378,6029,1013,2114,5014,4080,1236,"17","00501",30484,"15_to_19_min",7,9,2
"78","Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",173195,97843,993,5281,9919,14495,16946,8004,17136,3017,6148,8187,5530,2187,"17","03524",48922,"25_to_29_min",9,8,2
"10","South & Southeast Illinois PUMA, Illinois",135138,49006,4071,7180,5757,5256,5771,2880,7412,1161,1669,3733,3193,923,"17","00800",24504,"20_to_24_min",8,8,2
"29","Stephenson & Ogle Counties PUMA, Illinois",96897,44321,2202,8346,5495,5127,4986,2417,4746,1577,1979,3685,1860,1901,"17","02700",22161,"20_to_24_min",8,8,4
"45","Dupage County (Northeast)--Addison & Bloomingdale (North) Townships PUMA, Illinois",117911,59843,927,5976,7576,9853,7833,5533,8083,2731,2157,4307,3971,896,"17","03207",29922,"20_to_24_min",8,8,1
"14","St. Clair County (Northwest, Southwest & Southeast) PUMA; Illinois",115618,48242,958,3809,8398,8340,8687,3772,5449,1034,1877,2362,2412,1144,"17","01105",24122,"20_to_24_min",8,7,2
"31","Winnebago (Northeast) & Boone Counties PUMA, Illinois",141997,63890,2463,7119,9255,12819,9678,4961,6275,2195,1804,2807,2319,2195,"17","02901",31946,"20_to_24_min",8,7,3
