"","location_name","total_population","total_commuters","less_than_5_min","5_to_9_min","10_to_14_min","15_to_19_min","20_to_24_min","25_to_29_min","30_to_34_min","35_to_39_min","40_to_44_min","45_to_59_min","60_to_89_min","90_or_more_min","state","puma","median_commuter_number","median_commute_bins","median_commute_bin_number","percent_more_than_hour","percent_more_than_90"
"250","Sonoma County (South)--Petaluma, Rohnert Park & Cotati Cities PUMA; California",124750,57663,2047,4734,8626,6470,7296,4249,8311,1567,2086,4230,5671,2376,"06","09702",28832,"20_to_24_min",8,14,4
"252","Stanislaus County (Southwest)--Ceres, Patterson & Newman Cities PUMA; California",126042,50033,1541,5185,5885,7167,6708,2064,7220,2576,1547,2937,3134,4069,"06","09901",25017,"20_to_24_min",8,14,8
"3","Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities PUMA, California",177228,91580,1037,3789,8424,13833,11333,4658,15292,3331,3968,13567,9897,2451,"06","00102",45790,"30_to_34_min",10,13,3
"208","San Francisco County (North & East)--North Beach & Chinatown PUMA, California",116342,68221,733,2372,4642,9137,10145,6576,14627,2335,2574,6238,5576,3266,"06","07502",34111,"30_to_34_min",10,13,5
"223","San Mateo County (South & West)--San Mateo (South) & Half Moon Bay Cities PUMA, California",129093,64522,626,4471,7720,7582,7820,3740,8640,2863,4119,8252,7717,972,"06","08104",32262,"30_to_34_min",10,13,2
"26","El Dorado County--El Dorado Hills PUMA, California",185625,73427,2504,6915,11250,11612,8851,3237,7633,3126,3171,5285,6241,3602,"06","01700",36714,"20_to_24_min",8,13,5
"243","Santa Cruz County (North)--Watsonville & Scotts Valley Cities PUMA, California",147226,64378,1683,4690,8017,10313,8733,2442,6463,2937,2989,7531,6124,2456,"06","08701",32190,"20_to_24_min",8,13,4
"42","Lake & Mendocino Counties PUMA, California",151744,50314,3149,8837,9952,5243,4866,2119,5008,1018,1683,1900,3287,3252,"06","03300",25158,"15_to_19_min",7,13,6
"220","San Mateo County (North Central)--Daly City, Pacifica Cities & Colma Town PUMA; California",145735,78754,838,5059,6024,9885,11221,4561,15381,2588,4713,8864,8278,1342,"06","08101",39378,"30_to_34_min",10,12,2
"233","Santa Clara County (North Central)--San Jose City (East Central) & Alum Rock PUMA, California",106045,49584,334,1533,2734,5461,9290,2593,12304,1551,2900,5024,4346,1514,"06","08505",24792,"30_to_34_min",10,12,3
"238","Santa Clara County (Central)--San Jose City (Central) PUMA, California",156986,71983,480,2900,6452,11022,10121,5219,12597,2222,4103,7928,5685,3254,"06","08510",35992,"25_to_29_min",9,12,5
"248","Solano County (Northeast)--Vacaville & Dixon Cities PUMA, California",138976,60410,2106,6186,11465,9857,5893,2972,4434,1819,2706,5523,4132,3317,"06","09503",30206,"20_to_24_min",8,12,5
"116","Merced County (Northeast)--Merced & Atwater Cities PUMA, California",161205,57589,1876,8093,12071,8681,8447,1613,4632,724,1980,2820,2347,4305,"06","04702",28795,"15_to_19_min",7,12,7
"168","Sacramento County (South)--Galt, Isleton Cities & Delta Region PUMA; California",110514,43111,1017,2449,3976,3055,6782,2430,9102,1405,2582,5427,2936,1950,"06","06711",21556,"30_to_34_min",10,11,5
"79","Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA, California",131807,56860,369,1837,5289,9620,8704,2629,12631,1065,2235,6038,4670,1773,"06","03737",28430,"25_to_29_min",9,11,3
"222","San Mateo County (Central)--San Mateo (North), Burlingame & Millbrae Cities PUMA; California",107881,51374,989,3825,6249,7121,6145,2176,6745,2494,3073,6710,4956,891,"06","08103",25688,"25_to_29_min",9,11,2
"142","Placer County (East/High Country Region)--Auburn & Colfax Cities PUMA, California",109384,43947,1212,3907,5426,7389,7460,2410,4497,1223,1458,4170,3272,1523,"06","06103",21974,"20_to_24_min",8,11,3
"256","Sutter & Yuba Counties--Yuba City PUMA, California",171926,64952,2250,6180,9886,12514,7250,2278,5808,1461,4259,5719,4249,3098,"06","10100",32476,"20_to_24_min",8,11,5
"167","Sacramento County (Central)--Elk Grove City PUMA, California",164166,70999,1158,5377,7646,9068,9253,5048,11563,3140,5486,6480,4153,2627,"06","06710",35500,"25_to_29_min",9,10,4
"221","San Mateo County (North Central)--South San Francisco, San Bruno & Brisbane Cities PUMA; California",122304,66662,212,4894,8708,9663,6959,3680,11593,1807,4448,7756,5425,1517,"06","08102",33332,"25_to_29_min",9,10,2
"224","San Mateo County (East Central)--Redwood City, San Carlos & Belmont Cities PUMA; California",137942,71304,687,6845,7527,9297,11294,4158,10599,3015,3022,7847,6261,752,"06","08105",35652,"25_to_29_min",9,10,1
"112","Madera County--Madera City PUMA, California",154697,53213,2025,9738,8683,6139,5071,2259,6532,777,1320,5434,3960,1275,"06","03900",26607,"20_to_24_min",8,10,2
"217","San Joaquin County (North)--Lodi, Ripon & Escalon Cities PUMA; California",174853,69503,3264,10502,10346,8445,11085,3025,10758,640,1165,3555,4040,2678,"06","07704",34752,"20_to_24_min",8,10,4
"237","Santa Clara County (Central)--San Jose City (Northwest) PUMA, California",135258,68752,202,3531,9669,12048,9411,3869,13230,1408,2307,6169,5164,1744,"06","08509",34376,"20_to_24_min",8,10,3
"244","Santa Cruz County (South & Coastal)--Santa Cruz City PUMA, California",127447,58087,3002,10137,10871,8006,7939,1791,4633,532,1393,4199,3247,2337,"06","08702",29044,"15_to_19_min",7,10,4
"235","Santa Clara County (Southwest)--Cupertino, Saratoga Cities & Los Gatos Town PUMA; California",141961,60189,573,4349,4654,5621,9889,5576,11510,2523,3788,6035,4015,1656,"06","08507",30095,"25_to_29_min",9,9,3
"242","Santa Clara County (Central)--San Jose City (East Central/East Valley) PUMA, California",119907,55593,448,2308,5695,7089,9774,4010,11818,1278,2547,5451,4026,1149,"06","08514",27797,"25_to_29_min",9,9,2
"141","Placer County (Central)--Rocklin, Lincoln Cities & Loomis Town PUMA; California",128394,54713,1068,6010,7872,8721,6360,3051,7419,1811,1877,5645,2898,1981,"06","06102",27357,"20_to_24_min",8,9,4
"249","Sonoma County (North)--Windsor Town, Healdsburg & Sonoma Cities PUMA; California",183663,81955,3342,11236,12310,10448,10826,6486,10722,2490,3011,4031,3884,3169,"06","09701",40978,"20_to_24_min",8,9,4
"254","Stanislaus County (Northeast)--Turlock, Riverbank, Oakdale & Waterford Cities PUMA; California",177752,70434,3517,10247,10890,9411,9203,4528,7509,2332,1538,4853,1640,4766,"06","09903",35218,"20_to_24_min",8,9,7
"255","Stanislaus County (Central)--Modesto City (East) PUMA, California",109213,41686,959,3976,8141,7655,4340,1687,4128,739,2233,3877,1187,2764,"06","09904",20844,"20_to_24_min",8,9,7
"259","Tulare County (Outside Visalia, Tulare & Porterville Cities) PUMA; California",163799,57214,1992,7015,7335,7961,8619,2415,9594,971,2007,4300,3462,1543,"06","10703",28608,"20_to_24_min",8,9,3
"163","Sacramento County (North)--Sacramento City (North), Antelope & Rio Linda PUMA; California",126606,48601,614,2031,4155,6594,9744,4307,8262,2148,3182,3455,1888,2221,"06","06706",24301,"25_to_29_min",9,8,5
"232","Santa Clara County (North Central)--Milpitas & San Jose (Northeast) Cities PUMA, California",141764,59866,307,2710,4723,9184,11740,4189,11936,1055,3616,5450,3485,1471,"06","08504",29934,"25_to_29_min",9,8,2
"159","Sacramento County (Central)--Rancho Cordova City PUMA, California",118672,53703,810,3795,6871,9861,8012,3510,10034,1089,1620,4004,2645,1452,"06","06702",26852,"20_to_24_min",8,8,3
"120","Napa County--Napa City PUMA, California",142166,66829,3233,9807,11169,9856,7635,3128,8531,1330,2644,4031,3431,2034,"06","05500",33415,"15_to_19_min",7,8,3
"121","Nevada & Sierra Counties PUMA, California",101397,36615,2626,4121,6849,6237,4722,1496,4057,245,1216,1946,2488,612,"06","05700",18308,"15_to_19_min",7,8,2
"251","Sonoma County (Central)--Santa Rosa City PUMA, California",194657,90888,4485,10858,16740,19767,14414,3697,7109,1071,1877,3671,4084,3115,"06","09703",45444,"15_to_19_min",7,8,3
"90","Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA, California",186074,94236,1506,6486,9377,11522,15996,4850,16720,4410,5094,11485,5105,1685,"06","03748",47118,"25_to_29_min",9,7,2
"14","Butte County (Southeast)--Oroville City & Paradise Town PUMA, California",109961,34421,1680,3619,6040,4452,2969,2981,7281,1005,882,1245,1243,1024,"06","00702",17211,"20_to_24_min",8,7,3
"140","Placer County (Southwest)--Roseville City PUMA, California",142753,58241,1225,6652,8943,8611,6316,3686,9199,2637,2568,4327,2730,1347,"06","06101",29121,"20_to_24_min",8,7,2
"158","Sacramento County (North Central)--Citrus Heights City PUMA, California",109197,50448,639,2012,5865,8814,9522,4684,8510,1150,1297,4580,1646,1729,"06","06701",25224,"20_to_24_min",8,7,3
